ID,Nome,Sobrenome,Idade,Departamento,Cargo,Salário,Data de Admissão,Email,Telefone
1,Nome1,Sobrenome1,58,Vendas,Coordenador,2699,2010-01-01,empregado1@empresa.com,+55 (11) 967399769
2,Nome2,Sobrenome2,48,Financeiro,Diretor,2190,2010-02-17,empregado2@empresa.com,+55 (11) 930279846
3,Nome3,Sobrenome3,34,Marketing,Coordenador,12492,2010-04-06,empregado3@empresa.com,+55 (11) 920970723
4,Nome4,Sobrenome4,27,Financeiro,Assistente,19364,2010-05-24,empregado4@empresa.com,+55 (11) 982807712
5,Nome5,Sobrenome5,40,Financeiro,Assistente,4975,2010-07-11,empregado5@empresa.com,+55 (11) 982193785
6,Nome6,Sobrenome6,58,RH,Coordenador,8102,2010-08-28,empregado6@empresa.com,+55 (11) 960018037
7,Nome7,Sobrenome7,38,Financeiro,Assistente,19568,2010-10-15,empregado7@empresa.com,+55 (11) 953351876
8,Nome8,Sobrenome8,42,Vendas,Coordenador,3816,2010-12-02,empregado8@empresa.com,+55 (11) 960166883
9,Nome9,Sobrenome9,30,Financeiro,Gerente,2569,2011-01-19,empregado9@empresa.com,+55 (11) 970361505
10,Nome10,Sobrenome10,30,RH,Coordenador,7442,2011-03-08,empregado10@empresa.com,+55 (11) 956787763
11,Nome11,Sobrenome11,43,Vendas,Coordenador,3895,2011-04-25,empregado11@empresa.com,+55 (11) 975732489
12,Nome12,Sobrenome12,55,TI,Assistente,5863,2011-06-12,empregado12@empresa.com,+55 (11) 913693305
13,Nome13,Sobrenome13,59,Financeiro,Assistente,14913,2011-07-30,empregado13@empresa.com,+55 (11) 923470137
14,Nome14,Sobrenome14,43,RH,Analista,9455,2011-09-16,empregado14@empresa.com,+55 (11) 914466271
15,Nome15,Sobrenome15,22,TI,Analista,6014,2011-11-03,empregado15@empresa.com,+55 (11) 964717184
16,Nome16,Sobrenome16,41,TI,Gerente,13093,2011-12-21,empregado16@empresa.com,+55 (11) 944907127
17,Nome17,Sobrenome17,21,Marketing,Analista,5009,2012-02-07,empregado17@empresa.com,+55 (11) 920495300
18,Nome18,Sobrenome18,43,Vendas,Coordenador,18538,2012-03-26,empregado18@empresa.com,+55 (11) 938709379
19,Nome19,Sobrenome19,49,Financeiro,Assistente,12729,2012-05-13,empregado19@empresa.com,+55 (11) 944654999
20,Nome20,Sobrenome20,57,RH,Analista,3409,2012-06-30,empregado20@empresa.com,+55 (11) 937451727
21,Nome21,Sobrenome21,21,Marketing,Analista,14249,2012-08-17,empregado21@empresa.com,+55 (11) 984815222
22,Nome22,Sobrenome22,40,Vendas,Gerente,2784,2012-10-04,empregado22@empresa.com,+55 (11) 938997889
23,Nome23,Sobrenome23,52,Marketing,Gerente,10096,2012-11-21,empregado23@empresa.com,+55 (11) 958978079
24,Nome24,Sobrenome24,31,Vendas,Coordenador,9560,2013-01-08,empregado24@empresa.com,+55 (11) 921726298
25,Nome25,Sobrenome25,41,Vendas,Assistente,14533,2013-02-25,empregado25@empresa.com,+55 (11) 994607827
26,Nome26,Sobrenome26,44,Financeiro,Gerente,9343,2013-04-13,empregado26@empresa.com,+55 (11) 965723671
27,Nome27,Sobrenome27,46,Vendas,Analista,9206,2013-05-31,empregado27@empresa.com,+55 (11) 999843595
28,Nome28,Sobrenome28,47,Marketing,Assistente,7801,2013-07-18,empregado28@empresa.com,+55 (11) 966564401
29,Nome29,Sobrenome29,35,Vendas,Assistente,18921,2013-09-04,empregado29@empresa.com,+55 (11) 956673570
30,Nome30,Sobrenome30,34,Financeiro,Analista,7986,2013-10-22,empregado30@empresa.com,+55 (11) 988547323
